1. ["agave syrup", "agave nectar", "liquid agave sweetener", "agave sweetener"]
1432. ["teriyaki sauce", "teriyaki marinade", "teriyaki glaze", "bottled teriyaki sauce", "stir fry teriyaki sauce"]
1433. ["low sodium teriyaki sauce", "reduced sodium teriyaki", "less salt teriyaki sauce", "teriyaki sauce 50 percent less sodium", "teriyaki lite sauce"]
1434. ["textured vegetable protein dry", "tvp dry", "soy crumbles dry", "soy protein granules", "tvp flakes"]
1435. ["thousand island dressing", "1000 island dressing", "thousand island salad dressing", "thousand island", "dressing thousand island"]
1436. ["thousand island dressing fat free", "fat free thousand island", "0% fat thousand island dressing", "light thousand island fat free", "thousand island fat free dressing"]
1437. ["thousand island dressing light", "light thousand island dressing", "reduced fat thousand island", "lite thousand island", "thousand island low fat"]
1438. ["thuringer", "thuringer sausage", "thüringer sausage", "thuringer lunch meat", "thuringer summer sausage"]
1439. ["pediasure toddler formula", "pediasure shake", "toddler nutrition shake", "pediasure grow and gain", "pediatric shake pediasure"]
1440. ["store brand toddler formula shake", "pediatric shake store brand", "toddler nutrition shake generic", "store brand pediatric drink", "toddler shake off brand"]
1441. ["tomato vegetable juice 100%", "v8 original 100% juice", "mixed vegetable tomato juice", "vegetable juice 100%", "tomato veg juice no added sugar"]
1442. ["low sodium tomato vegetable juice", "v8 low sodium 100% juice", "reduced sodium vegetable juice", "low salt tomato veg juice", "vegetable juice 100% low sodium"]
1443. ["tomato chili sauce", "chili sauce", "heinz chili sauce", "american chili sauce", "tomato based chili sauce"]
1444. ["tomato juice cocktail", "tomato cocktail", "bloody mary mix", "vegetable cocktail juice", "tomato beverage cocktail"]
1445. ["tomato juice 100%", "100% tomato juice", "canned tomato juice", "tomato juice no sugar added", "pure tomato juice"]
1446. ["tomato juice low sodium 100%", "low sodium tomato juice", "reduced sodium tomato juice", "100% tomato juice low salt", "no salt added tomato juice"]
1447. ["cooked tomatoes as ingredient", "stewed tomatoes", "sauteed tomatoes", "tomatoes cooked ingredient", "tomato cooked pieces"]
1448. ["tomato slices sandwich", "sliced tomato for sandwich", "sandwich tomato", "fresh tomato slices", "tomato slice sandwich"]
1449. ["caramel topping", "butterscotch topping", "sundae caramel sauce", "dessert topping butterscotch", "ice cream topping caramel"]
1450. ["chocolate topping", "chocolate syrup", "hot fudge topping", "sundae chocolate sauce", "chocolate dessert topping"]
1451. ["fruit topping", "strawberry topping", "blueberry topping", "fruit sauce topping", "fruit compote topping"]
1452. ["marshmallow topping", "marshmallow fluff", "marshmallow creme topping", "sundae marshmallow", "marshmallow sauce"]
1453. ["nuts and syrup topping", "wet walnuts", "walnut sundae topping", "nut topping in syrup", "pecans in syrup topping"]
1454. ["cheese tortellini plain", "cheese tortellini no sauce", "plain tortellini", "cooked cheese tortellini", "cheese tortellini dry"]
1455. ["flavored tortilla chips", "seasoned tortilla chips", "spicy tortilla chips", "lime tortilla chips", "ranch tortilla chips"]
1456. ["low fat unsalted tortilla chips", "unsalted tortilla chips", "no salt baked tortilla chips", "baked tortilla chips", "light tortilla chips no salt"]
1457. ["doritos nacho cheese", "nacho cheese tortilla chips", "doritos nacho", "nacho cheese chips", "doritos original nacho"]
1458. ["doritos other flavors", "doritos cool ranch", "spicy sweet chili doritos", "flavored doritos", "ranch tortilla chips doritos"]
1459. ["plain tortilla chips", "tortilla chips salted", "restaurant style tortilla chips", "corn tortilla chips plain", "white corn tortilla chips"]
1460. ["corn tortilla", "yellow corn tortilla", "white corn tortilla", "corn tortillas small", "street taco corn tortilla"]
1461. ["flour tortilla", "white flour tortilla", "burrito tortilla", "large flour tortillas", "soft taco tortilla"]
1462. ["whole wheat tortilla", "wheat tortilla", "whole grain tortilla", "whole wheat wrap", "soft whole wheat tortilla"]
1463. ["trail mix", "snack mix nuts raisins", "mountain trail mix", "deluxe trail mix", "trail mix nfs"]
1464. ["turkey bacon cooked", "cooked turkey bacon", "turkey bacon strips", "pan fried turkey bacon", "turkey bacon slices"]
1465. ["reduced sodium turkey bacon cooked", "low sodium turkey bacon", "turkey bacon less sodium", "cooked turkey bacon low salt", "turkey bacon 50% less sodium"]
1466. ["turkey ham deli meat", "turkey ham lunch meat", "prepackaged turkey ham", "turkey ham sliced", "turkey ham cold cuts"]
1467. ["turkey pork sausage", "chicken pork sausage", "mixed poultry pork sausage", "breakfast sausage turkey pork", "link sausage chicken pork"]
1468. ["turkey sausage", "chicken sausage", "poultry sausage", "breakfast turkey sausage", "smoked chicken sausage"]
1469. ["frozen turkey dinner with gravy", "turkey and dressing frozen meal", "turkey potatoes vegetable meal", "turkey tv dinner", "frozen turkey entree"]
1470. ["canned turkey", "turkey canned meat", "turkey in can", "canned turkey chunks", "turkey meat canned"]
1471. ["smoked turkey skin on", "smoked turkey with skin", "smoked turkey light dark skin", "smoked turkey meat skin eaten", "smoked turkey leg skin on"]
1472. ["smoked turkey skinless", "smoked turkey without skin", "smoked turkey light dark no skin", "smoked turkey meat no skin", "smoked turkey breast no skin"]
1473. ["turkey deli meat", "turkey lunch meat", "sliced turkey breast deli", "prepackaged turkey slices", "turkey cold cuts"]
1474. ["reduced sodium turkey deli meat", "low sodium turkey lunch meat", "turkey slices less sodium", "deli turkey reduced sodium", "turkey cold cuts low sodium"]
1475. ["turnip raw", "raw turnip", "fresh turnip", "turnip peeled raw", "turnip whole raw"]
1476. ["hot pocket", "savory turnover", "pocket sandwich", "turnover nfs", "microwave pocket snack"]
1477. ["fruit turnover", "apple turnover", "cherry turnover", "fruit pastry turnover", "fruit filled turnover"]
1478. ["vegan mayo", "plant based mayo", "egg free mayonnaise", "dairy free mayo", "vegan mayonnaise"]
1479. ["fruit and vegetable juice drink high vitamin c", "vitamin c juice drink", "v8 splash high c", "juice cocktail high vitamin c", "fruit veg drink fortified c"]
1480. ["diet high vitamin c juice drink", "light juice drink high c", "low calorie fruit veg drink", "v8 splash diet", "zero sugar vitamin c drink"]
1481. ["light juice drink high vitamin c", "reduced calorie juice drink high c", "light fruit veg juice drink", "juice beverage light high c", "light v8 splash"]
1482. ["100% vegetable and fruit juice high c", "v8 100% high c", "vegetable juice 100% vitamin c", "mixed fruit veg juice 100%", "high vitamin c 100% juice"]
1483. ["vegetarian fillet", "veggie fillet", "meatless fillet", "plant based fillet", "soy fillet"]
1484. ["veggie burger patty no bun", "veggie patty plain", "plant based burger patty", "meatless burger patty", "veggie burger patty only"]
1485. ["vienna sausage canned", "canned vienna sausages", "vienna sausages in can", "vienna sausage snack", "vienna sausage tin"]
1486. ["vinegar", "white vinegar", "apple cider vinegar", "distilled vinegar", "acv"]
1487. ["vodka", "vodka shot", "plain vodka", "unflavored vodka", "vodka 80 proof"]
1488. ["waffle nfs", "plain waffle", "homemade waffle", "waffle generic", "waffle unspecified"]
1489. ["gluten free waffle", "gf waffle", "gluten free frozen waffle", "gluten free waffle breakfast", "rice flour waffle"]
1490. ["frozen waffle plain", "plain frozen waffle", "toaster waffle", "eggo plain waffle", "frozen waffle original"]
1491. ["school waffle", "school breakfast waffle", "cafeteria waffle", "nslp waffle", "school lunch waffle"]
1492. ["whole grain waffle reduced fat", "low fat whole grain waffle", "reduced fat wheat waffle", "whole grain toaster waffle", "light whole grain waffle"]
1493. ["walnut oil", "walnut cooking oil", "cold pressed walnut oil", "walnut oil culinary", "walnut oil dressing"]
1494. ["walnuts", "raw walnuts", "plain walnuts", "shelled walnuts", "walnut halves"]
1495. ["wasabi paste", "prepared wasabi", "wasabi tube", "wasabi condiment", "horseradish wasabi paste"]
1496. ["wasabi peas", "spicy wasabi peas", "wasabi coated peas", "wasabi snack peas", "wasabi green peas"]
1497. ["water chestnut", "water chestnuts", "canned water chestnuts", "sliced water chestnuts", "water chesnut"]
1498. ["fruit flavored water", "flavored water drink", "fruit water beverage", "hint water", "fruit infused water"]
1499. ["baby water", "nursery water", "infant water", "fluoride baby water", "sterile baby water"]
1500. ["bottled water", "plain bottled water", "still water", "spring water bottled", "purified water bottled"]
1501. ["sparkling water flavored", "flavored seltzer", "flavored sparkling water", "carbonated flavored water", "sparkling water lime"]
1502. ["sparkling water", "seltzer water", "soda water", "club soda", "carbonated water"]
1503. ["diet enhanced water", "vitamin water zero", "zero calorie enhanced water", "electrolyte water zero sugar", "flavored water zero"]
1504. ["enhanced water", "vitamin water", "electrolyte water", "flavored vitamin water", "nutrient enhanced water"]
1505. ["flavored water non carbonated", "still flavored water", "flavored water no bubbles", "flat flavored water", "infused water still"]
1506. ["tap water", "drinking water tap", "sink water", "tap water plain", "municipal water"]
1507. ["tonic water", "quinine tonic water", "diet tonic water", "indian tonic water", "tonic mixer"]
1508. ["watercress raw", "fresh watercress", "raw watercress", "watercress leaves", "watercress salad"]
1509. ["watermelon juice 100%", "100% watermelon juice", "fresh watermelon juice", "cold pressed watermelon juice", "watermelon juice pure"]
1510. ["watermelon raw", "fresh watermelon", "watermelon cubes", "seedless watermelon", "watermelon wedges"]
1511. ["wheat bran", "bran wheat", "wheat bran cereal", "wheat bran raw", "millers bran"]
1512. ["wheat germ", "toasted wheat germ", "raw wheat germ", "wheat germ cereal", "wheat germ flakes"]
1513. ["wheat germ oil", "vitamin e wheat germ oil", "wheatgerm oil", "cold pressed wheat germ oil", "wheat germ oil culinary"]
1514. ["sweet whey powder", "dry sweet whey", "whey powder sweet", "sweet dairy whey", "sweet whey dry"]
1515. ["whipped topping", "whipped cream topping", "dessert topping whipped", "cool whip", "aerosol whipped topping"]
1516. ["fat free whipped topping", "light whipped topping fat free", "cool whip fat free", "whipped topping 0% fat", "fat free dessert topping"]
1517. ["sugar free whipped topping", "no sugar whipped topping", "whipped topping sugar free", "cool whip sugar free", "sugar free dessert topping"]
1518. ["whiskey", "whisky", "bourbon whiskey", "rye whiskey", "scotch whisky"]
1519. ["white beans", "cannellini beans", "great northern beans", "navy beans", "white bean cooked"]
1520. ["white chocolate candy", "white chocolate bar", "white chocolate pieces", "white chocolate chips", "white chocolate sweets"]
1521. ["whopper burger king", "burger king whopper", "whopper sandwich", "bk whopper", "whopper original"]
1522. ["whopper with cheese", "burger king whopper with cheese", "bk whopper cheese", "whopper cheeseburger", "whopper add cheese"]
1523. ["wine cooler", "wine cooler beverage", "wine cooler drink", "fruit wine cooler", "cooler alcoholic beverage"]
1524. ["dessert wine sweet", "sweet dessert wine", "port style wine", "late harvest sweet wine", "ice wine sweet"]
1525. ["light wine", "lower alcohol wine", "lite wine", "light bodied wine", "reduced alcohol wine"]
1526. ["nonalcoholic wine", "alcohol free wine", "dealcoholized wine", "zero alcohol wine", "na wine"]
1527. ["red wine", "glass red wine", "table wine red", "cabernet merlot red", "dry red wine"]
1528. ["rice wine", "sake", "nihonshu", "rice wine sake", "japanese sake"]
1529. ["rose wine", "rosé wine", "pink wine", "blush wine", "dry rosé"]
1530. ["white wine", "glass white wine", "table wine white", "chardonnay sauvignon blanc", "dry white wine"]
1531. ["winter squash raw", "butternut squash raw", "acorn squash raw", "winter squash fresh", "uncooked winter squash"]
1532. ["steamed dumplings", "steamed potstickers", "steamed wonton", "dumpling steamed", "pot sticker steamed"]
1533. ["worcestershire sauce", "worcester sauce", "steak sauce worcestershire", "worcestershire condiment", "worcestershire marinade"]
1534. ["yeast", "active dry yeast", "instant yeast", "bakers yeast", "bread yeast"]
1535. ["yeast extract spread", "marmite", "vegemite", "yeast spread", "savory yeast spread"]
1536. ["greek yogurt nonfat plain", "0% greek yogurt plain", "fat free greek yogurt", "plain greek yogurt nonfat", "nonfat greek yogurt"]
1537. ["greek yogurt whole milk plain", "full fat greek yogurt", "whole milk plain greek yogurt", "greek yogurt 4% plain", "greek yogurt whole"]
1538. ["yogurt unspecified", "yogurt ns", "yogurt unknown type", "yogurt any flavor", "yogurt generic"]
1539. ["yogurt non fruit flavored", "yogurt other flavors", "yogurt vanilla", "yogurt chocolate", "yogurt flavored non fruit"]
1540. ["yogurt fruit flavored", "fruit yogurt", "yogurt with fruit", "strawberry yogurt", "mixed berry yogurt"]
1541. ["yogurt plain", "plain yogurt", "unsweetened yogurt", "natural yogurt plain", "yogurt unflavored"]
1542. ["zwieback toast", "teething biscuit", "rusks zwieback", "zwieback rusk", "baby toast"]
